sampleID	projectID	Race	Continent
SRR15286026	PRJNA742936	USA	North_America
SRR15286027	PRJNA742936	USA	North_America
SRR15286028	PRJNA742936	USA	North_America
SRR15286029	PRJNA742936	USA	North_America
SRR15286030	PRJNA742936	USA	North_America
SRR15286031	PRJNA742936	USA	North_America
SRR15286032	PRJNA742936	USA	North_America
SRR15286033	PRJNA742936	USA	North_America
SRR15286034	PRJNA742936	USA	North_America
SRR15286035	PRJNA742936	USA	North_America
SRR15286036	PRJNA742936	USA	North_America
SRR15286037	PRJNA742936	USA	North_America
SRR15286038	PRJNA742936	USA	North_America
SRR15286039	PRJNA742936	USA	North_America
SRR15286040	PRJNA742936	USA	North_America
SRR15286041	PRJNA742936	USA	North_America
SRR15286042	PRJNA742936	USA	North_America
SRR15286043	PRJNA742936	USA	North_America
SRR15286044	PRJNA742936	USA	North_America
SRR15286045	PRJNA742936	USA	North_America
SRR15286046	PRJNA742936	USA	North_America
SRR15286047	PRJNA742936	USA	North_America
SRR15286048	PRJNA742936	USA	North_America
SRR15286049	PRJNA742936	USA	North_America
SRR15286050	PRJNA742936	USA	North_America
SRR15286051	PRJNA742936	USA	North_America
SRR15286052	PRJNA742936	USA	North_America
SRR15286053	PRJNA742936	USA	North_America
SRR15286054	PRJNA742936	USA	North_America
SRR15286055	PRJNA742936	USA	North_America
SRR15286056	PRJNA742936	USA	North_America
SRR15286057	PRJNA742936	USA	North_America
SRR15286058	PRJNA742936	USA	North_America
SRR15286059	PRJNA742936	USA	North_America
SRR15286060	PRJNA742936	USA	North_America
SRR15286061	PRJNA742936	USA	North_America
SRR15286062	PRJNA742936	USA	North_America
SRR15286063	PRJNA742936	USA	North_America
SRR15286064	PRJNA742936	USA	North_America
SRR15286065	PRJNA742936	USA	North_America
SRR15286066	PRJNA742936	USA	North_America
SRR15286067	PRJNA742936	USA	North_America
SRR15286068	PRJNA742936	USA	North_America
SRR15286069	PRJNA742936	USA	North_America
SRR15286070	PRJNA742936	USA	North_America
SRR15286071	PRJNA742936	USA	North_America
SRR15286072	PRJNA742936	USA	North_America
SRR15286073	PRJNA742936	USA	North_America
SRR15286074	PRJNA742936	USA	North_America
